"","ThrottlePosition___","EngineSpeed_rpm_","DesiredEngineSpeed_rpm_","BoostPressure_kPa_","EngineLoadFactor___","FuelConsumptionRate_l_h_","GroundSpeed_mph_","TransmissionOutputSpeed_rpm_","FrontServiceBrakeOilPressure_kPa_","RearServiceBrakeOilPressure_kPa_","HydraulicOilTemperature_degC_","HydraulicOilTemperature_degC_.1","FuelGauge___","SystemVoltage_volts_","Productivity"
"17686",99.2,1796,2120,143.5,100,27.1,1,179,4,16,88,88,13,28.2,"High"
"17687",99.2,2140.5,2120,144.5,89,19.35,0.5,93,106,133,88,88,14,28.2,"High"
"17688",68.4,1873,1772,147,75,22.7,3.5,340,7,17,88,88,13,28.2,"High"
"17689",78.8,2090,1959,117.5,17,2,3,270,2569,2785,88,88,13,28.2,"High"
"17690",99.2,1932,2120,147,100,25.05,4,428,76,29,88,88,13,28.2,"High"
"17691",99.2,1798,2120,158.5,100,26.95,8,846,10,22,88,88,14,28.1,"High"
"17692",99.2,2156.5,2120,152.5,99,19.6,9.5,917,11,22,88,88,14,28.1,"High"
"17693",99.2,1801.5,2120,156.5,100,26.85,11.5,1172,7,23,89,89,14,28.2,"High"
"17694",99.2,1668.5,2120,154,100,29.2,13.5,1357,0,10,89,89,14,28.2,"High"
"17695",99.2,1803.5,2120,161,100,26.95,15,1468,13,19,88,88,14,28.2,"High"
"17696",99.2,1981.5,2120,156.5,100,24.45,16.5,1620,10,24,88,88,14,28.2,"High"
"17697",99.2,2125.5,2120,154,98,21.95,17.5,1725,14,24,88,88,13,28.2,"High"
"17698",99.2,2156.5,2120,84.5,43,13.3,18,1757,12,29,88,88,13,28.2,"High"
"17699",98.8,2141.5,2120,42,14,0.5,17.5,1723,15,31,88,88,13,28.2,"High"
"17700",99.2,2141.5,2120,45,18,5.7,17.5,1748,13,27,88,88,14,28.1,"High"
"17701",63.2,1898,1676,138,68,14.75,6.5,558,1180,2214,76,76,35,28.2,"High"
"17702",65.2,1956,1683,60.5,71,0,0,0,722,912,76,76,35,28.2,"High"
"17703",59.2,1967,1623,66.5,0,0,0,0,671,849,76,76,34,28.2,"High"
"17704",98.8,1734,2120,122.5,100,28.05,1.5,218,103,135,76,76,34,28.1,"High"
"17705",52,1696,1439.5,142.5,100,19.25,5.5,537,501,507,76,76,35,28.2,"High"
