"","ThrottlePosition___","EngineSpeed_rpm_","DesiredEngineSpeed_rpm_","BoostPressure_kPa_","EngineLoadFactor___","FuelConsumptionRate_l_h_","GroundSpeed_mph_","TransmissionOutputSpeed_rpm_","FrontServiceBrakeOilPressure_kPa_","RearServiceBrakeOilPressure_kPa_","HydraulicOilTemperature_degC_","HydraulicOilTemperature_degC_.1","FuelGauge___","SystemVoltage_volts_","Productivity"
"5802",98,1982,2120,78.5,94,24.6,6,598,92,132,86,86,24,28.2,"Low"
"5803",99.2,1656.5,2120,120.5,100,29.35,7.5,773,0,5,86,86,24,28.2,"Low"
"5804",99.2,1948,2120,120.5,100,24.8,9,904,0,0,86,86,24,28.3,"Low"
"5805",99.2,2033,2120,122,100,23.85,9.5,936,0,5,86,86,23,28.2,"Low"
"5806",99.2,2030,2120,123,96,23.85,9.5,912,0,5,86,86,21,28.1,"Low"
"5807",99.2,1952,2120,116,100,24.8,9,906,0,4,86,86,23,28.2,"Low"
"5808",76.4,1907,1922.5,118.5,88,24.45,8,799,609,1187,86,86,22,28.2,"Low"
"5809",68,1612.5,1762,67.5,35,27.9,4.5,420,1062,1536,86,86,24,28.2,"Low"
"5810",96.8,2034.5,2120,76,97,23.4,1.5,200,87,130,86,86,24,28.2,"Low"
"5811",99.6,1791.5,2120,119.5,100,27.2,5,538,7,16,86,86,24,28.2,"Low"
"5812",99.2,2054,2120,122.5,100,22.9,6,579,5,17,86,86,24,28.2,"Low"
"5813",99.6,2131,2120,95.5,0,0,7.5,737,220,495,86,86,24,28.2,"Low"
"5814",99.6,1672,2120,120,100,29.2,9,901,11,20,86,86,24,28.2,"Low"
"5815",99.6,2046.5,2120,123,100,23.65,12,1179,0,7,86,86,20,28.2,"Low"
"5816",99.6,1880,2120,113,100,25.65,12.5,1233,0,5,86,86,18,28.2,"Low"
"5817",76,1977,1912,65,29,12.7,11.5,1086,554,738,86,86,24,28.2,"Low"
"5818",99.2,1781.5,2120,115,99,27.3,9.5,953,100,137,86,86,29,28.2,"Low"
"5819",99.2,1869.5,2120,123.5,100,25.9,10.5,1052,76,16,86,86,29,28.2,"Low"
"5820",99.2,1988,2120,120,100,24.35,11.5,1141,0,2,86,86,24,28.2,"Low"
"5821",99.2,2084,2120,124.5,100,23.15,12,1195,0,1,85,85,24,28.2,"Low"
"5822",99.2,1922.5,2120,110,100,25.2,12.5,1220,0,5,85,85,24,28.2,"Low"
"5823",99.2,1830.5,2120,123,100,26.5,13,1264,0,5,85,85,24,28.2,"Low"
"5824",99.2,1836,2120,120,100,26.5,13,1292,0,0,85,85,24,28.2,"Low"
"5825",99.6,1853.5,2120,118.5,100,26.15,13.5,1339,0,1,85,85,24,28.2,"Low"
"5826",99.6,1851,2120,121.5,100,26.15,14,1377,0,0,85,85,24,28.2,"Low"
"5827",99.6,1403.5,2120,115,100,35.05,14.5,1413,0,0,85,85,24,28.2,"Low"
"5828",99.6,1439.5,2120,110.5,100,34.3,14.5,1447,0,1,85,85,24,28.2,"Low"
"5829",99.6,1441.5,2120,111.5,100,34.1,15,1477,0,1,85,85,24,28.1,"Low"
"5830",99.6,1464.5,2120,111.5,100,33.5,15,1520,0,0,85,85,24,28.2,"Low"
"5831",99.6,1496.5,2120,114,100,32.65,15.5,1517,0,1,85,85,24,28.2,"Low"
"5832",99.6,1507.5,2120,113.5,100,32.4,15.5,1526,0,0,85,85,24,28.2,"Low"
"5833",99.6,1555,2120,118,100,31.35,16,1569,0,3,85,85,24,28.2,"Low"
"5834",99.6,1564.5,2120,119,100,31.1,16,1582,0,0,85,85,24,28.2,"Low"
"5835",99.6,1598.5,2120,121.5,100,30.5,16.5,1615,0,2,84,84,24,28.2,"Low"
"5836",90.4,1638,2120,120.5,100,29.7,16.5,1648,492,522,84,84,24,28.2,"Low"
"5837",63.6,1891.5,1678,89,86,5,15.5,1483,1265,1531,84,84,24,28.2,"Low"
"5838",54.8,1575.5,1511.5,31.5,33,12.35,8.5,743,2607,2825,84,84,23,28.2,"Low"
"5839",99.2,1773,2120,122.5,100,27.45,4,434,88,99,84,84,21,28.1,"Low"
"5840",54.8,1831,1517,54.5,0,0,5,456,0,7,84,84,23,28.2,"Low"
"5841",52,1582,1474.5,46,33,11.75,4,403,0,2,84,84,23,28.2,"Low"
"5842",98.8,1950.5,2120,83.5,97,25.05,2.5,226,0,0,84,84,23,28.2,"Low"
"5843",99.2,1582,2120,120,100,30.9,1.5,140,0,0,84,84,23,28.2,"Low"
"5844",99.2,1553,2120,121.5,100,31.45,1,105,0,0,84,84,23,28.2,"Low"
"5845",99.2,1443,2120,115,100,34.2,0,0,0,0,84,84,23,28.2,"Low"
"5846",93.2,1383.5,2120,112,100,35.4,1,288,0,0,84,84,23,28.2,"Low"
"5847",76,1641.5,1910,123,100,29.7,2.5,292,0,202,84,84,23,28.2,"Low"
"5848",85.6,1640,2120,73,69,29.7,0,0,2204,2391,84,84,21,28.1,"Low"
"5849",96.8,1563,1593,48.5,81,37.3,1.5,195,66,1,84,84,22,28.2,"Low"
"5850",76.4,1942,1901.5,119,100,22.2,3.5,355,273,366,85,85,23,28.2,"Low"
"5851",89.2,1638,1625,71.5,0,23.75,0.5,0,556,735,84,84,23,28.2,"Low"
"5852",99.2,2164,2120,109.5,76,19,3,303,86,89,85,85,23,28.2,"Low"
"5853",99.2,2078.5,2120,119.5,98,22.9,5.5,547,0,4,85,85,23,28.2,"Low"
"5854",99.2,1724,2120,123.5,100,28.25,8,800,0,1,85,85,24,28.3,"Low"
"5855",99.2,2027,2120,123.5,100,23.75,9.5,946,0,5,85,85,24,28.2,"Low"
"5856",98.8,1846,2120,118.5,100,26.25,10.5,1084,0,4,85,85,24,28.2,"Low"
"5857",65.6,1602.5,1719,116,97,30.05,12.5,1272,0,0,85,85,23,28.2,"Low"
"5858",91.2,1829.5,2120,125,100,26.6,15,1506,0,1,85,85,23,28.2,"Low"
"5859",85.2,1972.5,2111,122,100,24.6,16,1615,0,0,85,85,24,28.2,"Low"
"5860",98.4,2074,2120,125,99,23.4,17,1704,0,0,85,85,24,28.2,"Low"
"5861",98.8,2117.5,2120,99.5,81,21.25,17.5,1733,6,23,85,85,24,28.2,"Low"
"5862",91.6,2156,2120,58.5,22,7,17.5,1706,12,29,85,85,24,28.2,"Low"
"5863",98.8,2045,2120,56.5,46,21.25,17,1724,0,2,85,85,24,28.2,"Low"
"5864",98.8,2098.5,2120,89.5,67,20.45,17.5,1711,0,0,85,85,24,28.3,"Low"
"5865",99.2,2108,2120,84,57,19.6,17.5,1713,0,5,85,85,24,28.1,"Low"
"5866",99.2,2137.5,2120,64.5,27,12.85,17.5,1716,0,6,85,85,24,28.2,"Low"
"5867",99.2,2091,2120,50,23,14.5,17.5,1729,0,5,85,85,24,28.2,"Low"
"5868",99.2,2081.5,2120,44,24,14.95,17,1717,0,5,85,85,24,28.2,"Low"
"5869",75.2,1834,1901,97,99,26.35,14.5,1403,1469,1659,85,85,24,28.2,"Low"
"5870",63.2,1437,1682.5,45,62,32.05,9,849,573,763,85,85,24,28.2,"Low"
"5871",72.8,1666.5,1863,86.5,54,29.1,6.5,610,605,800,85,85,24,28.2,"Low"
"5872",99.2,1551,2120,125,100,31.35,7,708,91,119,85,85,24,28.2,"Low"
"5873",99.6,1729,2120,121.5,100,28.4,8,813,0,0,85,85,24,28.2,"Low"
"5874",99.6,1806,1784.5,81.5,38,16.15,8.5,848,79,182,86,86,24,28.2,"Low"
